date,hour,pickup_community_area,day_of_week,demand,temperature,zone_name,is_holiday,n_crashes,congestion_speed
2023-02-17,3,22,6,1,-3.1999999999999997,LOGAN SQUARE,0,0,13.80379310344828
2023-02-17,3,39,6,0,-3.1999999999999997,KENWOOD,0,0,13.80379310344828
2023-02-17,3,51,6,0,-3.1999999999999997,SOUTH DEERING,0,0,13.80379310344828
2023-02-17,3,49,6,1,-3.1999999999999997,ROSELAND,0,0,13.80379310344828
2023-02-17,3,58,6,0,-3.1999999999999997,BRIGHTON PARK,0,0,13.80379310344828
2023-02-17,3,33,6,2,-3.1999999999999997,NEAR SOUTH SIDE,0,0,13.80379310344828
2023-02-17,3,52,6,0,-3.1999999999999997,EAST SIDE,0,0,13.80379310344828
2023-02-17,3,43,6,0,-3.1999999999999997,SOUTH SHORE,0,0,13.80379310344828
2023-02-17,3,4,6,0,-3.1999999999999997,LINCOLN SQUARE,0,0,13.80379310344828
2023-02-17,3,45,6,0,-3.1999999999999997,AVALON PARK,0,0,13.80379310344828
2023-02-17,3,60,6,0,-3.1999999999999997,BRIDGEPORT,0,0,13.80379310344828
2023-02-17,3,21,6,2,-3.1999999999999997,AVONDALE,0,0,13.80379310344828
2023-02-17,3,66,6,0,-3.1999999999999997,CHICAGO LAWN,0,0,13.80379310344828
2023-02-17,4,38,6,0,-3.9333333333333336,GRAND BOULEVARD,0,0,24.66747126436782
2023-02-17,4,64,6,0,-3.9333333333333336,CLEARING,0,0,24.66747126436782
